importId;name;code;description;productFamily.id;productCategory.id;expense;procurementMethodSelect;unit.importId;productTypeSelect;salePrice;saleCurrency.code;purchasePrice;purchaseCurrency.code;defaultSupplierPartner.importId;startDate;endDate;saleSupplySelect;costPrice;hasWarranty;warrantyNbrOfMonths;isPerishable;perishableNbrOfMonths;defaultBillOfMaterial.importId;managPriceCoef;picture_fileName;isActivity;productVariantConfig.importId;costSheetGroup.importId;manageVariantPrice
200;Disque dur SATA 1To;COMP-0001;DD Interne 3,5'' / Capacité : 1 To / Mémoire Tampon : 64 Mo / Vitesse rotation : 7200 trs/min;3;5;false;buy;1;storable;60;EUR;46.2;EUR;148;TODAY[-4M1d];;1;54;true;12;false;;;1.40;img/product/COMP-0001_fr.png;;;1;
201;Disque dur SSD 100 Go;COMP-0002;DD SSD 100 Go - SATA 6Go/s - 7 mm;3;5;false;buy;1;storable;80;EUR;64.8;EUR;148;TODAY[-4M1d];;1;72;true;12;false;;;1.40;img/product/COMP-0002_fr.png;;;1;
210;Processeur 4x3,4 GHz;COMP-0003;Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache;3;6;false;buy;1;storable;180;EUR;138.6;EUR;152;TODAY[-4M1d];;1;162;true;12;false;;;1.40;img/product/COMP-0003_fr.jpg;;;1;
211;Processeur 6x3,2 GHz;COMP-0004;Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache;3;6;false;buy;1;storable;540;EUR;448.2;EUR;152;TODAY[-4M1d];;1;486;true;12;false;;;1.40;img/product/COMP-0004_fr.jpg;;;1;
220;Boîtier Rack;COMP-0005;;3;7;false;buy;1;storable;70;EUR;54.6;EUR;148;TODAY[-3M1d];;1;63;false;;false;;;1.40;img/product/COMP-0005_fr.jpg;;;1;
230;Mémoire 8 Go DDR3;COMP-0006;;3;8;false;buy;1;storable;80;EUR;60.8;EUR;170;TODAY[-3M1d];;1;72;true;12;false;;;1.40;img/product/COMP-0006_fr.jpg;;;1;
231;Mémoire 16 Go DDR3;COMP-0007;;3;8;false;buy;1;storable;160;EUR;120;EUR;170;TODAY[-3M1d];;1;144;true;12;false;;;1.40;img/product/COMP-0007_fr.jpg;;;1;
240;Carte mère classique;COMP-0008;;3;9;false;buy;1;storable;150;EUR;105;EUR;152;TODAY[-3M1d];;1;135;true;12;false;;;1.40;img/product/COMP-0008_fr.png;;;1;
241;Carte mère haut de gamme;COMP-0009;;3;9;false;buy;1;storable;250;EUR;187.5;EUR;152;TODAY[-3M1d];;1;225;true;12;false;;;1.40;img/product/COMP-0009_fr.jpg;;;1;
250;Alimentation;COMP-0010;;3;9;false;buy;1;storable;40;EUR;30.4;EUR;152;TODAY[-3M1d];;1;36;true;12;false;;;1.40;img/product/COMP-0010_fr.png;;;1;
300;Set connectique;CONS-0001;;4;10;false;buy;1;storable;20;EUR;15.6;EUR;70;;;1;18;false;;false;;;1.40;img/product/CONS-0001_fr.jpg;;;1;
301;Set visserie;CONS-0002;;4;10;false;buy;1;storable;4;EUR;3.16;EUR;70;;;1;4;false;;false;;;1.40;img/product/CONS-0002_fr.jpg;;;1;
302;Cartouche jet d'encre;CONS-0003;Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 1500 copies;4;10;false;buy;1;storable;32.9;EUR;21;EUR;70;TODAY[-1M1d];;1;24.35;false;;false;;;1.40;img/product/CONS-0003_fr.jpg;;;2;
303;Cartouche encre laser;CONS-0004;Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 2600 copies;4;10;false;buy;1;storable;84.5;EUR;54;EUR;70;TODAY[-1M1d];;1;58.75;false;;false;;;1.40;img/product/CONS-0004_fr.jpg;;;2;
304;Ramette 500 Feuilles A4 Standard 80 g;CONS-0005;Format : A4 / Quantité : 500 feuilles / Masse : 80 g;4;10;false;buy;1;storable;6.99;EUR;5.4522;EUR;70;TODAY[-1M1d];;1;6;false;;false;;;1.40;img/product/CONS-0005_fr.jpg;;;2;
305;Stylos billes medium (Bte 50);CONS-0006;Couleurs disponibles : Noir, Bleu, Rouge, Vert;4;10;false;buy;1;storable;15;EUR;10.8;EUR;70;;;1;14;false;;false;;;1.40;img/product/CONS-0006_fr.png;;1;2;true
306;Café moulu 250g;CONS-0007;Origine Colombie, 100% Pur arabica;4;11;false;buy;1;storable;3;EUR;2.49;EUR;70;;;1;3;true;;true;12;;1.40;img/product/CONS-0007_fr.png;;;2;
307;Bouteille Eau (1,5L);CONS-0008;;4;11;false;buy;1;storable;0.9;EUR;0.684;EUR;70;;;1;1;true;;true;12;;1.40;img/product/CONS-0008_fr.jpg;;;2;
400;Projet;SERV-0001;;5;13;false;;1;service;8000;EUR;6480;EUR;;TODAY[-2M1d];;1;7200;false;;false;;;1.40;img/product/SERV-0001_fr.jpg;true;;;
401;Tâche;SERV-0002;;5;12;false;;1;service;1;EUR;1;EUR;;TODAY[-2M1d];;1;1;false;;false;;;1.40;img/product/SERV-0002_fr.jpg;true;;;
402;Charge;SERV-0003;;5;12;false;;1;service;100;EUR;100;EUR;;TODAY[-2M1d];;1;90;false;;false;;;1.40;img/product/SERV-0003_fr.jpg;true;;;
410;Chef de projet;SERV-0004;;5;12;false;;103;service;1000;EUR;790;EUR;;TODAY[-2M1d];;2;800;false;;false;;;1.40;img/product/SERV-0004_fr.jpg;true;;;
411;Consultant;SERV-0005;;5;12;false;;103;service;800;EUR;568;EUR;;TODAY[-2M1d];;2;640;false;;false;;;1.40;img/product/SERV-0005_fr.jpg;true;;;
412;Technicien/Opérateur Niv 1;SERV-0006;;5;12;false;;103;service;400;EUR;320;EUR;;;;2;320;false;;false;;;1.40;img/product/SERV-0006_fr.jpg;true;;;
413;Technicien/Opérateur Niv 2;SERV-0007;;5;12;false;;103;service;500;EUR;380;EUR;;;;2;400;false;;false;;;1.40;img/product/SERV-0007_fr.jpg;true;;;
414;Commercial;SERV-0008;;5;12;false;;103;service;700;EUR;525;EUR;;;;2;560;false;;false;;;1.40;img/product/SERV-0008_fr.png;true;;;
415;Manager;SERV-0009;;5;12;false;;103;service;1100;EUR;781;EUR;;;;2;880;false;;false;;;1.40;img/product/SERV-0009_fr.jpg;true;;;
416;Dirigeant;SERV-0010;;5;12;false;;103;service;1500;EUR;1110;EUR;;;;2;1200;false;;false;;;1.40;img/product/SERV-0010_fr.png;true;;;
500;Billets de train/metro/tramway;NDF-0001;Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par Train, Métro ou Tramway.;6;14;true;;1;service;80;EUR;63.2;EUR;;;;3;72;false;;false;;;1.40;img/product/NDF-0001_fr.jpg;;;;
501;Billets d'avion;NDF-0002;Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par avion.;6;14;true;;1;service;150;EUR;106.5;EUR;;;;3;135;false;;false;;;1.40;img/product/NDF-0002_fr.jpg;;;;
502;Taxi/Location voiture;NDF-0003;Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par taxi ou via un véhicule loué.;6;14;true;;1;service;1;EUR;0.78;EUR;;;;3;1;false;;false;;;1.40;;;;;
503;Frais kilométriques;NDF-0004;Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise ayant utilisé leur véhicule personnel.;6;14;true;;1;service;1;EUR;0.76;EUR;;;;3;1;false;;false;;;1.40;;;;;
504;Repas;NDF-0005;Remboursement des frais de repas liés au déplacement du personnel à l'extérieur de l'entreprise.;6;14;true;;1;service;20;EUR;15;EUR;;;;3;18;false;;false;;;1.40;img/product/NDF-0005_fr.jpg;;;;
505;Hôtel ( ou autres hébergements);NDF-0006;Remboursement d'hébergement liés au déplacement du personnel à l'extérieur de l'entreprise.;6;14;true;;1;service;90;EUR;63.9;EUR;;;;3;81;false;;false;;;1.40;img/product/NDF-0006_fr.jpg;;;;
