"importId";"name_fr";"code_fr";"name_en";"code_en";"description_fr";"description_en";"productFamily.id";"productCategory.id";"applicationTypeSelect";"procurementMethodSelect";"isRawMaterial";"unit.code";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"defaultSupplierPartner.importId";"startDate";"endDate";"invoiceLineType.id";"saleSupplySelect";"costPrice";"hasWarranty";"warrantyNbrOfMonths";"isPerishable";"perishableNbrOfMonths"
201;"Disque dur SATA 1To";"COMP-0001";"Hard Disk SATA 1To";"COMP-0001";"DD Interne 3,5'' / Capacité : 1 To / Mémoire Tampon : 64 Mo / Vitesse rotation : 7200 trs/min";"Internal HDD 3,5'' - Capacity : 1 To / Memory : 64 Mo / Speed : 7200 trs/min";3;5;1;"buy";"false";"U";"storable";60;"EUR";"46.2";"EUR";148;"2013-01-01";;3;1;54;"false";12;"false";
202;"Disque dur SSD 100 Go";"COMP-0002";"Hard Disk SSD 100 Go";"COMP-0002";"DD SSD 100 Go - SATA 6Go/s - 7 mm";"DD SSD 100 Go - SATA 6Go/s - 7 mm";3;5;1;"buy";"false";"U";"storable";80;"EUR";"64.8";"EUR";148;"2013-01-01";;3;1;72;"false";12;"false";
210;"Processeur 4x3,4 GHz";"COMP-0003";"Processor 4x3,4 GHz";"COMP-0003";"Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache";"Processor 4 core - 8 threads - 3,4 GHz - 8 Mo Cache";3;6;1;"buy";"false";"U";"storable";180;"EUR";"138.6";"EUR";152;"2013-01-01";;3;1;162;"false";12;"false";
211;"Processeur 6x3,2 GHz";"COMP-0004";"Processor 6x3,2 GHz";"COMP-0004";"Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache";"Processor 6 core - 12 threads - 3,2 GHz - 8 Mo Cache";3;6;1;"buy";"false";"U";"storable";540;"EUR";"448.2";"EUR";152;"2013-01-01";;3;1;486;"false";12;"false";
220;"Boîtier Rack";"COMP-0005";"Rack Casing";"COMP-0005";;;3;7;1;"buy";"false";"U";"storable";70;"EUR";"54.6";"EUR";148;"2013-01-01";;3;1;63;"false";;"false";
230;"Mémoire 8 Go DDR3";"COMP-0006";"Memory 8 Go DDR3";"COMP-0006";;;3;8;1;"buy";"false";"U";"storable";80;"EUR";"60.8";"EUR";170;"2013-01-01";;3;1;72;"false";12;"false";
231;"Mémoire 16 Go DDR3";"COMP-0007";"Memory 16 Go DDR3";"COMP-0007";;;3;8;1;"buy";"false";"U";"storable";160;"EUR";120;"EUR";170;"2013-01-01";;3;1;144;"false";12;"false";
240;"Carte mère classique";"COMP-0008";"Classic MotherBoard";"COMP-0008";;;3;9;1;"buy";"false";"U";"storable";150;"EUR";105;"EUR";152;"2013-01-01";;3;1;135;"false";12;"false";
241;"Carte mère haut de gamme";"COMP-0009";"High Performance MotherBoard";"COMP-0009";;;3;9;1;"buy";"false";"U";"storable";250;"EUR";"187.5";"EUR";152;"2013-01-01";;3;1;225;"false";12;"false";
250;"Alimentation";"COMP-0010";"Power Supply";"COMP-0010";;;3;9;1;"buy";"false";"U";"storable";40;"EUR";"30.4";"EUR";152;"2013-01-01";;3;1;36;"false";12;"false";
300;"Set connectique";"CONS-0001";"Cables set";"CONS-0001";;;4;10;1;"buy";"false";"U";"storable";20;"EUR";"15.6";"EUR";88;"2013-01-01";;4;1;18;"false";;"false";
301;"Set visserie";"CONS-0002";"Screws set";"CONS-0002";;;4;10;1;"buy";"false";"U";"storable";4;"EUR";"3.16";"EUR";88;"2013-01-01";;4;1;4;"false";;"false";
302;"Cartouche jet d'encre";"CONS-0003";"Ink Cartridge";"CONS-0003";"Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 1500 copies";"Color : Black, Magenta, Yellow, Blue/ Capacity : 1500 copies";4;10;1;"buy";"false";"U";"storable";329;"EUR";"243.46";"EUR";88;"2013-01-01";;4;1;296;"false";;"false";
303;"Cartouche encre laser";"CONS-0004";"Laser Cartridge";"CONS-0004";"Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 2600 copies";"Color : Black, Magenta, Yellow, Blue/ Capacity : 2600 copies";4;10;1;"buy";"false";"U";"storable";"424.9";"EUR";"297.43";"EUR";88;"2013-01-01";;4;1;382;"false";;"false";
304;"Ramette 500 Feuilles A4 Standard 80 g";"CONS-0005";"Paper ream 500 Sheets A4 Standard 80 g";"CONS-0005";"Format : A4 / Quantité : 500 feuilles / Poids : 80 g";"Format : A4 / Quantity : 500 Sheets / Weight : 80 g";4;10;1;"buy";"false";"U";"storable";"6.99";"EUR";"5.4522";"EUR";88;"2013-01-01";;4;1;6;"false";;"false";
305;"Stylos billes medium (Bte 50)";"CONS-0006";"Inkball Pen medium (Box 50)";"CONS-0006";"Couleurs disponibles : Noir, Bleu, Rouge, Vert";"Available colors : Black, Blue, Red, Green";4;10;1;"buy";"true";"U";"storable";15;"EUR";"10.8";"EUR";88;"2013-01-01";;4;1;14;"false";;"false";
306;"Café moulu 250g";"CONS-0007";"Ground coffee 250g";"CONS-0007";"Origine Colombie, 100% Pur arabica";"Origin Columbia, 100% pur arabica";4;11;1;"buy";"true";"U";"storable";3;"EUR";"2.49";"EUR";88;"2013-01-01";;4;1;3;"true";;"true";12
307;"Bouteille Eau (1,5L)";"CONS-0008";"Bottle of Water (1,5L)";"CONS-0008";;;4;11;1;"buy";"true";"U";"storable";"0.9";"EUR";"0.684";"EUR";88;"2013-01-01";;4;1;1;"true";;"true";12
400;"Projet";"SERV-0001";"Project";"SERV-0001";;;5;13;1;;"false";"U";"service";8000;"EUR";6480;"EUR";;"2013-01-01";;5;1;7200;"false";;"false";
401;"Tâche";"SERV-0002";"Task";"SERV-0002";;;5;12;1;;"false";"U";"service";1;"EUR";1;"EUR";;"2013-01-01";;5;1;1;"false";;"false";
402;"Charge";"SERV-0003";"WorkLoad";"SERV-0003";;;5;12;1;;"false";"U";"service";100;"EUR";100;"EUR";;"2013-01-01";;5;1;90;"false";;"false";
410;"Chef de projet";"SERV-0004";"Project Manager";"SERV-0001";;;5;12;2;;"false";"JR";"service";1000;"EUR";790;"EUR";;"2013-01-01";;5;2;800;"false";;"false";
411;"Consultant";"SERV-0005";"Consultant";"SERV-0002";;;5;12;2;;"false";"JR";"service";800;"EUR";568;"EUR";;"2013-01-01";;5;2;640;"false";;"false";
412;"Technicien/Opérateur Niv 1";"SERV-0006";"Technician/Operator Rk 1";"SERV-0004";;;5;12;2;;"false";"JR";"service";400;"EUR";320;"EUR";;"2013-01-01";;5;2;320;"false";;"false";
413;"Technicien/Opérateur Niv 2";"SERV-0007";"Technician/Operator Rk 2";"SERV-0005";;;5;12;2;;"false";"JR";"service";500;"EUR";380;"EUR";;"2013-01-01";;5;2;400;"false";;"false";
414;"Commercial";"SERV-0008";"Sales";"SERV-0006";;;5;12;2;;"false";"JR";"service";700;"EUR";525;"EUR";;"2013-01-01";;5;2;560;"false";;"false";
415;"Manager";"SERV-0009";"Manager";"SERV-0007";;;5;12;2;;"false";"JR";"service";1100;"EUR";781;"EUR";;"2013-01-01";;5;2;880;"false";;"false";
416;"Dirigeant";"SERV-0010";"General Manager";"SERV-0008";;;5;12;2;;"false";"JR";"service";1500;"EUR";1110;"EUR";;"2013-01-01";;5;2;1200;"false";;"false";
500;"Billets de train/metro/tramway";"NDF-0001";"Train/metro/tramway tickets";"NDF-0001";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par Train, Métro ou Tramway.";"Reimbursement of travel expenses for employees traveling outside the company by either Train, Metro or Subway";6;14;3;;"false";"U";"service";80;"EUR";"63.2";"EUR";;"2013-01-01";;6;3;72;"false";;"false";
501;"Billets d'avion";"NDF-0002";"Plane ticket";"NDF-0002";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par avion.";"Reimbursement of travel expenses for employees traveling outside the company by Plane";6;14;3;;"false";"U";"service";150;"EUR";"106.5";"EUR";;"2013-01-01";;6;3;135;"false";;"false";
502;"Taxi/Location voiture";"NDF-0003";"Taxi/Car Rental";"NDF-0003";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par taxi ou via un véhicule loué.";"Reimbursement of travel expenses for employees traveling outside the company by Taxi or Car Rental";6;14;3;;"false";"U";"service";1;"EUR";"0.78";"EUR";;"2013-01-01";;6;3;1;"false";;"false";
503;"Frais kilométriques";"NDF-0004";"Mileage expenses";"NDF-0004";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise ayant utilisé leur véhicule personnel.";"Reimbursement of travel expenses for employees traveling outside the company while using their own vehicle.";6;14;3;;"false";"U";"service";1;"EUR";"0.76";"EUR";;"2013-01-01";;6;3;1;"false";;"false";
504;"Repas";"NDF-0005";"Meal";"NDF-0005";"Remboursement des frais de repas liés au déplacement du personnel à l'extérieur de l'entreprise.";"Reimbursement of meal expenses for employees traveling outside the company.";6;14;3;;"false";"U";"service";20;"EUR";15;"EUR";;"2013-01-01";;6;3;18;"false";;"false";
505;"Hôtel ( ou autres hébergements)";"NDF-0006";"Hotel (or other accomodations)";"NDF-0006";"Remboursement d'hébergement liés au déplacement du personnel à l'extérieur de l'entreprise.";"Reimbursement of accomodation expenses for employees traveling outside the company.";6;14;3;;"false";"U";"service";90;"EUR";"63.9";"EUR";;"2013-01-01";;6;3;81;"false";;"false";
